SSC,date
0.6068584487,2021-02-08
0.5418238806,2021-02-08
0.7273594072,2021-02-08
0.5280213388,2021-02-08
0.8734093814,2021-02-13
0.9425042987,2021-02-13
0.836759147,2021-02-13
0.9397405983,2021-02-13
0.619284128,2021-02-18
0.528907114,2021-02-18
0.7332188163,2021-02-18
0.5001879937,2021-02-18
0.5893185624,2021-02-23
0.5102648508,2021-02-23
0.6902280634,2021-02-23
0.4998865902,2021-02-23
0.6164743244,2021-02-28
0.534942966,2021-02-28
0.7022951114,2021-02-28
0.5211836133,2021-02-28
0.5694140045,2021-03-05
0.4816717533,2021-03-05
0.655615739,2021-03-05
0.4738438851,2021-03-05
0.6230705965,2021-03-10
0.5550723721,2021-03-10
0.7163725578,2021-03-10
0.5518616801,2021-03-10
0.6278293829,2021-03-10
0.7046329561,2021-03-10
0.681944406,2021-03-15
0.6275034124,2021-03-15
0.7423199812,2021-03-15
0.6179982224,2021-03-15
0.6527468058,2021-03-20
0.5938446043,2021-03-20
0.6944268491,2021-03-20
0.5816674725,2021-03-20
0.6799135071,2021-03-25
0.6323331951,2021-03-25
0.6906625457,2021-03-25
0.6438649463,2021-03-25
0.6707444731,2021-03-30
0.6639580348,2021-03-30
0.6696976531,2021-03-30
0.6523624877,2021-03-30
0.6934265523,2021-04-04
0.6901325442,2021-04-04
0.678984067,2021-04-04
0.6754972594,2021-04-04
0.6941597285,2021-04-09
0.7032801123,2021-04-09
0.6672736991,2021-04-09
0.6870241347,2021-04-09
0.7422719288,2021-04-14
0.7492337909,2021-04-14
0.7153065549,2021-04-14
0.7335246859,2021-04-14
0.7437740262,2021-04-19
0.7559991857,2021-04-19
0.7086115401,2021-04-19
0.7386555207,2021-04-19
0.7081479524,2021-04-24
0.7283503992,2021-04-24
0.6630620743,2021-04-24
0.7100260388,2021-04-24
0.7897426944,2021-04-29
0.813567535,2021-04-29
0.7537511647,2021-04-29
0.793071435,2021-04-29
0.7857709969,2021-05-04
0.8780249424,2021-05-04
0.7649092465,2021-05-04
0.8505181621,2021-05-04
0.775406278,2021-05-09
0.8103739531,2021-05-09
0.7336365603,2021-05-09
0.7932722186,2021-05-09
0.7762072096,2021-05-14
0.7888363023,2021-05-14
0.7261129423,2021-05-14
0.7733135347,2021-05-14
1.02197079,2021-05-19
1.012949164,2021-05-19
1.024132282,2021-05-19
1.019096787,2021-05-19
0.6937506462,2021-05-24
0.696761606,2021-05-24
0.6410389971,2021-05-24
0.6857220157,2021-05-24
0.7278693926,2021-05-29
0.7353368442,2021-05-29
0.6697742029,2021-05-29
0.7328697525,2021-05-29
0.7085859869,2021-06-03
0.7146938533,2021-06-03
0.6596986815,2021-06-03
0.7180940025,2021-06-03
0.7011549196,2021-06-08
0.7020243008,2021-06-08
0.6619435372,2021-06-08
0.7078016147,2021-06-08
0.8670280708,2021-06-13
0.7185605156,2021-06-13
0.7162588454,2021-06-13
0.6968738084,2021-06-13
0.7859469901,2021-06-18
0.7526592119,2021-06-18
0.8190902882,2021-06-18
0.7947083329,2021-06-18
0.6441963565,2021-06-23
0.6389310688,2021-06-23
0.6434512813,2021-06-23
0.6407299989,2021-06-23
0.6934428556,2021-06-28
0.7133087473,2021-06-28
0.7300577735,2021-06-28
0.7267969098,2021-06-28
0.8025274767,2021-07-03
0.7943889074,2021-07-03
0.8538182393,2021-07-03
