Turbidity,date
-0.03493979818,2020-11-20
-0.01331049206,2020-11-20
0.01901794205,2020-11-25
0.02273247218,2020-11-25
0.01749660535,2020-11-25
0.02120559454,2020-11-25
-0.02866486562,2020-11-30
-0.01184077101,2020-11-30
-0.03583161483,2020-11-30
-0.02109514748,2020-11-30
-0.03115599859,2020-12-05
-0.02270717767,2020-12-05
-0.03312964955,2020-12-05
-0.02977191704,2020-12-05
-0.03824637419,2020-12-10
-0.03135343559,2020-12-10
-0.0360418017,2020-12-10
-0.039741059,2020-12-10
-0.04211351584,2020-12-15
-0.04019449548,2020-12-15
-0.03539144365,2020-12-15
-0.0482007219,2020-12-15
-0.04550592122,2020-12-20
-0.04448143703,2020-12-20
-0.03603155121,2020-12-20
-0.04340595439,2020-12-20
-0.05358309706,2020-12-25
-0.06028177951,2020-12-25
-0.0388897099,2020-12-25
-0.06442241036,2020-12-25
-0.002455894429,2020-12-30
0.01797463714,2020-12-30
-0.02219467219,2020-12-30
0.01904924994,2020-12-30
-0.07386725041,2021-01-04
-0.08189758349,2021-01-04
-0.06032666374,2021-01-04
-0.08882122019,2021-01-04
-0.009505895211,2021-01-09
-0.05891261115,2021-01-09
-0.003668709035,2021-01-09
-0.06495767403,2021-01-09
-0.02671816917,2021-01-14
0.03668684838,2021-01-14
-0.02447246492,2021-01-14
0.03687832724,2021-01-14
0.002330748127,2021-01-19
-0.05262358303,2021-01-19
-0.04002910991,2021-01-19
-0.07091458908,2021-01-19
0.03865109573,2021-01-24
0.04036011013,2021-01-24
0.04024742379,2021-01-24
0.04215011366,2021-01-24
-0.06692967375,2021-01-29
-0.07955770535,2021-01-29
-0.04322610415,2021-01-29
-0.07769665611,2021-01-29
-0.05750344366,2021-02-03
-0.06645923695,2021-02-03
-0.03487080648,2021-02-03
-0.06933774077,2021-02-03
-0.06786676981,2021-02-08
-0.08111330123,2021-02-08
-0.04209463125,2021-02-08
-0.08355405229,2021-02-08
0.009635938636,2021-02-13
0.03910128377,2021-02-13
-0.01931674375,2021-02-13
0.03964942897,2021-02-13
-0.06079608378,2021-02-18
-0.07560372809,2021-02-18
-0.03836984258,2021-02-18
-0.0849649378,2021-02-18
-0.05866257831,2021-02-23
-0.07993223205,2021-02-23
-0.03241874072,2021-02-23
-0.08018044345,2021-02-23
-0.04127689738,2021-02-28
-0.05881659921,2021-02-28
-0.02231502724,2021-02-28
-0.06055450478,2021-02-28
-0.04891639224,2021-03-05
-0.0776368671,2021-03-05
-0.02619016946,2021-03-05
-0.07731549941,2021-03-05
-0.04040284751,2021-03-10
-0.05832752367,2021-03-10
-0.02641682462,2021-03-10
-0.058145181,2021-03-10
-0.03450970424,2021-03-10
-0.02431202159,2021-03-10
-0.01272856745,2021-03-15
-0.02298919917,2021-03-15
-0.004982171188,2021-03-15
-0.0243412534,2021-03-15
-0.01703650785,2021-03-20
-0.03581787191,2021-03-20
-0.01276943414,2021-03-20
-0.0367339415,2021-03-20
0.002629318255,2021-03-25
-0.004593670714,2021-03-25
-0.001297919909,2021-03-25
-0.003942214247,2021-03-25
0.02439879586,2021-03-30
0.0241278637,2021-03-30
0.008376931051,2021-03-30
0.01992871441,2021-03-30
0.0314682813,2021-04-04
0.04337923015,2021-04-04
0.006269469887,2021-04-04
0.03777488547,2021-04-04
0.04628135762,2021-04-09
0.06351440357,2021-04-09
0.01554004906,2021-04-09
0.05614227365,2021-04-09
0.04560416711,2021-04-14
0.06638928724,2021-04-14
0.01597150549,2021-04-14
0.05971592343,2021-04-14
0.04138400401,2021-04-19
0.0636424229,2021-04-19
0.01032886492,2021-04-19
